right,left
0.6169999999999973,0.33100000000000307
0.6609999999999943,0.32100000000000506
0.6890000000000001,0.3329999999999984
0.644999999999996,0.3440000000000012
0.6390000000000029,0.3429999999999964
0.6370000000000005,0.3760000000000048
0.6259999999999977,0.3509999999999991
0.5820000000000007,0.3639999999999972
0.6340000000000003,0.3330000000000055
0.617999999999995,0.3710000000000022
0.6189999999999998,0.35999999999999943
0.6270000000000024,0.384999999999998
0.6120000000000019,0.34499999999999886
0.6120000000000019,0.3989999999999938
0.6130000000000067,0.3649999999999949
0.625,0.37400000000000233
0.7250000000000014,0.29699999999999704
0.6649999999999991,0.3370000000000033
0.546999999999997,0.24800000000000466
0.3399999999999963,0.26500000000000057
0.2079999999999984,0.3019999999999996
0.19700000000000273,0.4140000000000015
0.24399999999999977,0.1729999999999947
0.33100000000000307,0.17999999999999972
0.28600000000000136,0.17300000000000182
0.3999999999999986,0.240000000000002
0.1839999999999975,0.16100000000000136
0.134999999999998,0.14000000000000057
0.17999999999999972,0.1319999999999979
0.22000000000000597,0.1729999999999947
0.24399999999999977,0.13000000000000256
0.16799999999999926,0.17999999999999972
0.22700000000000387,0.17600000000000193
0.12199999999999989,0.232999999999997
0.12199999999999989,0.3680000000000021
0.11899999999999977,0.2710000000000079
0.2669999999999959,0.117999999999995
0.14200000000001012,0.16499999999999204
0.13300000000000978,0.11499999999999488
0.19599999999999795,0.10500000000000398
0.22299999999999898,0.12300000000000466
0.16100000000000136,0.20900000000000318
0.14999999999999147,0.11899999999999977
0.11400000000000432,0.21399999999999864
0.15000000000000568,0.20999999999999375
0.15099999999999625,0.125
0.17300000000000182,0.20299999999998875
0.15500000000000114,0.14000000000000057
0.16100000000000136,0.10999999999999943
0.15500000000000114,0.14599999999998658
0.1670000000000016,0.19700000000000273
0.30700000000000216,0.19700000000000273
0.46999999999999886,0.23999999999999488
0.20300000000000296,0.2539999999999907
0.27000000000001023,0.16499999999999204
0.5739999999999981,0.35900000000000887
0.6809999999999974,0.33199999999999363
0.6460000000000008,0.31100000000000705
0.6700000000000017,0.3259999999999934
0.8070000000000022,0.15500000000000114
0.6809999999999974,0.3260000000000076
0.5640000000000072,0.32099999999999795
